index,SPACER_cex_depth,SPACER_expand_pob_undef,SPACER_inductive_level,SPACER_max_depth,SPACER_max_query_lvl,SPACER_num_active_lemmas,SPACER_num_ctp_blocked,SPACER_num_invariants,SPACER_num_is_invariant,SPACER_num_lemma_jumped,SPACER_num_lemmas,SPACER_num_pobs,SPACER_num_propagations,SPACER_num_queries,SPACER_num_reach_queries,SPACER_num_reuse_reach_facts,max_memory,memory,status,time,time_iuc_solver_get_iuc,time_iuc_solver_get_iuc_hyp_reduce1,time_iuc_solver_get_iuc_hyp_reduce2,time_iuc_solver_get_iuc_learn_core,time_pool_solver_proof,time_pool_solver_smt_total,time_pool_solver_smt_total_sat,time_pool_solver_smt_total_undef,time_spacer_ctp,time_spacer_init_rules,time_spacer_init_rules_pt_init,time_spacer_mbp,time_spacer_solve,time_spacer_solve_propagate,time_spacer_solve_reach,time_spacer_solve_reach_children,time_spacer_solve_reach_gen_bool_ind,time_spacer_solve_reach_is_reach
array-dblclockfft_butterfly_ck2_r0-p098.smt2,,,1,3,3,8,3,10,13,,17,12,5,13,,,421.13,17.41,unsat,0.44,0.00,,0.00,,0.00,0.15,0.12,,,0.00,,0.00,0.18,0.02,0.15,0.01,0.07,
array-dblclockfft_butterfly_ck2_r0-p100.smt2,,,5,6,6,36,21,22,66,,56,45,5,49,,,423.53,60.83,unsat,4.83,0.05,0.00,0.01,0.00,0.02,3.96,2.80,,0.01,0.01,0.01,0.05,4.25,0.52,3.71,0.11,2.93,
array-dblclockfft_butterfly_ck2_r0-p101.smt2,,,,10,9,89,18,39,329,,123,107,174,114,,,469.72,451.44,timeout,899.97,0.28,0.01,0.12,0.01,0.09,31.86,27.83,,0.03,0.02,0.01,0.47,33.64,8.32,25.29,0.78,16.93,
array-dblclockfft_butterfly_ck2_r0-p103.smt2,,,7,10,10,87,45,69,335,13,173,151,103,163,,,423.53,205.31,unsat,38.80,0.69,0.03,0.41,0.03,0.14,35.61,24.78,,0.05,0.01,0.01,0.35,37.73,5.58,32.12,0.64,24.16,
array-dblclockfft_butterfly_ck2_r0-p106.smt2,,,38,45,45,174,623,311,5287,49,779,704,3244,745,,,423.07,337.65,unsat,122.38,1.15,0.06,0.54,0.08,0.31,109.18,77.52,,0.92,0.00,,1.00,117.81,31.29,86.38,2.32,61.67,
array-dblclockfft_butterfly_ck2_r0-p129.smt2,,,,9,8,77,23,34,225,,106,93,84,98,,,577.45,551.22,timeout,899.97,0.12,0.00,0.02,0.01,0.06,32.32,30.24,,0.02,0.02,0.02,0.34,33.65,6.93,26.69,0.61,18.40,
array-dblclockfft_butterfly_ck2_r0-p134.smt2,,,11,13,13,286,180,250,1164,25,471,443,502,457,,,611.61,549.96,unsat,472.18,5.14,0.20,3.63,0.15,0.78,446.36,397.54,,0.50,0.02,0.01,2.04,460.18,45.44,414.70,3.55,348.45,
array-dblclockfft_butterfly_ck2_r0-p152.smt2,,,1,2,2,4,,4,7,,8,5,4,5,,,421.13,14.26,unsat,0.30,0.00,,,,,0.05,0.03,,,0.00,,,0.06,0.01,0.04,0.00,0.01,
array-dblclockfft_butterfly_ck2_r0-p155.smt2,,,,17,16,348,88,180,2212,20,476,446,1415,460,,,593.28,566.61,timeout,899.97,10.91,0.81,7.48,0.38,1.81,470.62,395.90,,0.66,0.01,0.01,2.35,492.59,100.41,392.13,4.20,316.53,
array-dblclockfft_butterfly_ck2_r0-p159.smt2,,,10,12,12,276,50,222,1198,2,464,432,492,451,,,430.97,394.97,unsat,351.80,1.47,0.07,0.69,0.07,0.42,339.06,307.35,,0.42,0.01,0.01,1.83,349.48,57.78,291.66,3.30,223.52,
array-dblclockfft_butterfly_ck2_r0-p168.smt2,,,3,6,6,14,19,37,112,,67,55,62,60,,,421.13,63.57,unsat,4.52,0.06,0.00,0.03,0.00,0.02,3.98,2.48,,0.00,0.00,,0.03,4.24,0.34,3.88,0.08,3.13,
array-dblclockfft_butterfly_ck2_r0-p171.smt2,,,1,6,6,13,20,30,68,,60,46,13,53,,,421.13,33.22,unsat,2.04,0.03,0.00,0.01,0.00,0.01,1.59,1.42,,0.00,0.00,,0.03,1.77,0.36,1.39,0.06,0.86,
array-dblclockfft_butterfly_ck2_r0-p173.smt2,,,,19,18,351,113,241,3417,34,496,463,2614,478,,,1009.54,968.43,timeout,899.98,6.78,0.28,4.31,0.22,1.22,864.12,767.68,,0.76,0.01,0.01,3.86,887.11,205.48,681.57,6.20,555.89,
