index,SPACER_cex_depth,SPACER_expand_pob_undef,SPACER_inductive_level,SPACER_max_depth,SPACER_max_query_lvl,SPACER_num_active_lemmas,SPACER_num_ctp_blocked,SPACER_num_invariants,SPACER_num_is_invariant,SPACER_num_lemma_jumped,SPACER_num_lemmas,SPACER_num_pobs,SPACER_num_propagations,SPACER_num_queries,SPACER_num_reach_queries,SPACER_num_reuse_reach_facts,max_memory,memory,status,time,time_iuc_solver_get_iuc,time_iuc_solver_get_iuc_hyp_reduce1,time_iuc_solver_get_iuc_hyp_reduce2,time_iuc_solver_get_iuc_learn_core,time_pool_solver_proof,time_pool_solver_smt_total,time_pool_solver_smt_total_sat,time_pool_solver_smt_total_undef,time_spacer_ctp,time_spacer_init_rules,time_spacer_init_rules_pt_init,time_spacer_mbp,time_spacer_solve,time_spacer_solve_propagate,time_spacer_solve_reach,time_spacer_solve_reach_children,time_spacer_solve_reach_gen_bool_ind,time_spacer_solve_reach_is_reach
array-picorv32_mutAY_mem-p8.smt2,,,,4,4,45,,1,47,,49,44,16,46,,,106.16,102.40,timeout,22.37,0.41,0.00,0.01,0.00,0.39,19.20,,18.09,,0.59,0.58,1.26,21.70,3.40,18.28,1.41,10.97,
array-picorv32_mutBX_mem-p1.smt2,,,,6,6,488,,45,576,2,522,521,301,521,,,545.43,467.43,timeout,673.33,3.97,0.12,0.89,0.12,2.62,648.61,0.72,612.37,,0.83,0.82,10.03,672.22,44.11,628.10,13.35,546.35,
array-picorv32_mutBX_mem-p2.smt2,,,,7,6,170,,67,260,2,178,171,101,172,,,514.73,407.21,timeout,899.95,1.32,0.04,0.28,0.03,0.88,259.32,,251.17,,0.85,0.84,2.71,266.44,20.50,245.92,3.62,223.78,
array-picorv32_mutBX_mem-p5.smt2,,,,6,6,186,,17,620,3,213,209,264,210,,,216.40,204.11,timeout,168.14,1.40,0.04,0.24,0.04,1.02,158.31,0.58,151.26,,0.89,0.88,3.12,166.93,28.50,138.41,4.23,117.51,
array-picorv32_mutBX_mem-p6.smt2,,,,3,3,92,,17,5,,96,94,,94,,,148.39,139.43,timeout,106.89,0.56,0.01,0.06,0.01,0.44,102.12,1.34,97.48,,0.83,0.82,1.71,105.72,2.72,102.99,2.30,88.55,
array-picorv32_mutBX_mem-p7.smt2,,,,9,9,415,,54,1951,9,451,444,854,445,,,324.98,289.04,timeout,518.10,3.06,0.07,0.50,0.07,2.24,493.34,0.60,467.95,,0.87,0.85,7.20,516.89,128.79,388.07,9.71,335.58,
array-picorv32_mutBY_mem-p4.smt2,,,,7,6,168,,7,755,6,205,190,331,198,,,833.00,816.48,timeout,899.97,1.72,0.01,0.06,0.01,1.60,97.06,,92.66,,0.57,0.56,4.73,108.77,31.95,76.80,5.42,51.66,
array-picorv32_mutBY_mem-p8.smt2,,,,6,5,128,,7,579,6,159,150,305,153,,,,,,,1.48,0.01,0.04,0.01,1.39,78.62,,74.03,,0.58,0.57,5.66,90.41,35.69,54.71,6.21,31.09,
array-picorv32_mutCX_mem-p0.smt2,,,,8,7,351,,91,798,28,371,364,411,366,,,488.59,469.42,timeout,899.95,2.85,0.09,0.65,0.08,1.88,562.17,,540.57,,0.86,0.84,6.00,578.66,60.99,517.65,8.15,470.94,
array-picorv32_mutCX_mem-p3.smt2,,,,7,7,321,,78,550,3,343,344,303,344,,,433.21,287.48,timeout,400.50,2.03,0.03,0.28,0.04,1.55,385.68,0.52,371.25,,0.82,0.81,5.75,399.38,27.13,372.23,7.75,329.87,
array-picorv32_mutCX_mem-p7.smt2,,,,5,4,136,,7,512,2,152,149,243,149,,,205.05,186.53,timeout,153.17,1.00,0.03,0.14,0.02,0.76,145.66,,140.60,,0.82,0.81,2.13,151.99,30.94,121.04,2.89,102.11,
array-picorv32_mutCY_mem-p1.smt2,,,,7,6,298,,43,884,8,352,341,337,345,,,2291.88,2229.13,timeout,899.97,3.55,0.04,0.30,0.05,3.07,260.13,,250.04,,0.60,0.59,10.27,283.35,129.65,153.68,11.71,105.56,
array-picorv32_mutCY_mem-p3.smt2,,1,,8,7,211,,49,681,10,243,232,303,236,,,1162.28,771.10,timeout,899.98,2.24,0.01,0.10,0.02,2.05,136.10,,129.83,,0.59,0.58,6.15,150.94,31.14,119.77,7.04,85.77,
array-picorv32_mutCY_mem-p8.smt2,,,3,7,6,190,,18,1042,8,251,240,574,244,,,278.21,243.29,timeout,141.72,2.26,0.01,0.09,0.02,2.10,117.04,,109.98,,0.59,0.58,8.29,134.62,40.71,93.89,9.20,58.40,
